common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
Lime - Common,Highways,21,7,Mature,Fair,728.3,220.8
Sweet Chestnut,Housing,4,1,Juvenile,Poor,1.4,3.5
Sycamore,Housing,18,6,Mature,Fair,251,145.7
Birch - Silver,Housing,9,8,Middle aged,Good,100.5,173.7
Lime - Common,Parks,3,3,Mature,Fair,27.7,25.7
Lime - Caucasian,Parks,18,9,Mature,Good,446.3,341.4
London plane,Highways,14,13,Mature,Fair,2024.4,467.3
Cherry - Rosebud,Housing,4,3,Juvenile,Fair,4.3,21.9
London plane,Highways,5,1,Juvenile,Good,2.4,4.7
Maple - Field,Highways,15,7,Middle aged,Good,478.4,294.3
Sycamore,Highways,8,6,Middle aged,Fair,391.8,109.5
Apple,Education,6,3,Juvenile,Fair,23.8,27.3
Hawthorn,Highways,4,4,Mature,Fair,82.8,30.8
London plane,Highways,15,7,Mature,Good,949.8,340.3
Lime - Common,Housing,21,13,Mature,Good,406.9,675.2
Maple - Boxelder,Highways,10,6,Middle aged,Fair,273.8,182.3
June Berry,Parks,6,2,Middle aged,Fair,13,9.2
Lime - Caucasian,Highways,13,3,Middle aged,Fair,200.1,40.2
Maple - Norway,Highways,8,4,Middle aged,Fair,12.9,15.9
Maple - Norway,Housing,15,8,Middle aged,Good,291.7,378.8
Cherry - Double pint,Housing,3,3,Juvenile,Fair,14.8,19.4
London plane,Highways,24,12,Mature,Good,1336.9,652.3
London plane,Parks,8,4,Juvenile,Good,20.2,41.2
Oak - Pin,Highways,3,2,Juvenile,Fair,1.3,7.4
Alder - Grey,Parks,6,4,Middle aged,Good,16.2,47.5
Birch - Chinese Red,Highways,2.5,2,Juvenile,Dead,1.5,8.7
False Acacia,Highways,13,13,Mature,Fair,417.1,367
Sycamore,Housing,17,9,Mature,Good,618.9,301.2
Maple - Norway,Housing,16,8,Mature,Good,850.2,265
Ash,Housing,12,4,Middle aged,Fair,172.5,74
False Acacia,Housing,15,6,Middle aged,Fair,135.5,216.4
False Acacia,Housing,7,8,Mature,Fair,500.7,162
Maple - Caucasian,Housing,15,6,Mature,Fair,1083.6,246.5
Apple - Crab,Highways,15,4,Mature,Fair,123.5,74
London plane,Highways,14,16,Mature,Good,1792,889
London plane,Highways,16,11,Mature,Fair,1980,490.8
Birch - Silver,Housing,18,13,Mature,Good,918.5,489
London plane,Highways,18,16,Mature,Good,1995.1,982.3
Plum,Highways,7,4,Middle aged,Fair,198.5,107.4
London plane,Housing,14,11,Mature,Good,1192.6,456.1
Elm - Wych,Highways,4,4,Middle aged,Good,17.2,42.1
"Cherry - Wild, Gean",Education,4.5,4,Middle aged,Fair,101.3,27.1
Birch - Silver,Highways,10,3,Middle aged,Fair,39.2,29.6
Cherry - Double pint,Housing,3,1,Juvenile,Good,2.7,3.5
Maidenhair tree,Highways,5,2,Juvenile,Dead,3.8,11.2
"Rowan, Mountain Ash",Housing,9,4,Middle aged,Fair,141.5,50.8
"Cherry - Wild, Gean",Education,14,6,Middle aged,Good,138.3,31.6
London plane,Highways,18,12,Mature,Good,1213.5,594.5
Rowan - Sargent's,Highways,6,4,Mature,Fair,67.9,44.5
Birch - Cut-leaved,Housing,3,1,Juvenile,Fair,1.5,3.3
Wier maple,Housing,17,15,Mature,Good,759,641.8
Cherry - Ornamental,Highways,6,2,Middle aged,Fair,54,12.6
Maple - Boxelder,Highways,5,4,Middle aged,Fair,56.6,39.3
Birch - Silver,Highways,16,10,Mature,Good,386,293
Sycamore,Highways,16,7,Mature,Fair,394.3,194.7
Horse Chestnut,Parks,18,5,Mature,Good,4127.5,112.6
Apple,Parks,5,2,Juvenile,Fair,7.5,13.7
London plane,Highways,17,9,Mature,Good,551.6,428
Cherry - Ornamental,Highways,5,3,Middle aged,Good,6.2,12.6
Lime - Large-leaved,Highways,15,4,Mature,Good,531.6,86.7
Ash,Housing,13,5,Middle aged,Good,104,93.4
London plane,Housing,18,10,Mature,Good,642.6,412.9
London plane,Parks,26,18,Mature,Good,3498.7,1337.7
Hawthorn - European,Highways,6,4,Mature,Fair,75.6,35.6
London plane,Highways,23,9,Mature,Good,1179.3,372.8
London plane,Housing,18,9,Middle aged,Good,962.9,358
Lime - Common,Parks,9,3,Middle aged,Good,200.1,40.2
Ash,Housing,19,23,Mature,Good,2159.1,1507.6
"Rowan, Mountain Ash",Highways,7,3,Middle aged,Good,16.5,31.7
London plane,Highways,25,17,Mature,Good,4639.8,1193.2
London plane,Highways,18,9,Mature,Fair,1655,358
Honey Locust,Housing,14,8,Mature,Fair,1,98.1
London plane,Parks,15,10,Middle aged,Fair,73.2,412.9
Alder - Common,Highways,15,7,Mature,Good,310.2,232.8
"Oak - Common, Pedunculate",Highways,8,7,Middle aged,Good,114.8,118.5
Elder,Education,6,3,Mature,Good,39.5,23.5
Whitebeam,Parks,5,3,Mature,Fair,93,18.3
Lime - Caucasian,Highways,16,8,Middle aged,Good,200.1,347.7
Lime - Common,Highways,9,3,Mature,Good,317.4,40.2
False Acacia,Housing,9,8,Mature,Fair,480.7,229.1
Whitebeam,Highways,5,1,Middle aged,Fair,3.8,3.5
Horse Chestnut,Parks,24,15,Mature,Good,3153.2,899
Rowan,Housing,7,4,Middle aged,Fair,94.8,39.3
Cherry - Rosebud,Housing,6,2,Juvenile,Good,4.3,12.6
Lime - Common,Housing,16,5,Mature,Fair,351.7,265
London plane,Housing,29,16,Mature,Good,1658,1094.3
Maple - Norway,Housing,17,11,Mature,Good,565.5,479.1
Alder - Common,Parks,17,10,Mature,Good,448.7,167.2
"Cherry - Wild, Gean",Housing,11,8,Middle aged,Fair,152.1,214.9
London plane,Parks,23,16,Mature,Fair,4919,1057
Sycamore,Highways,10,3,Middle aged,Fair,193.2,35.8
Lime - Caucasian,Highways,10,4,Middle aged,Good,23.8,86.7
Maple - Field,Education,9,7,Middle aged,Fair,249.8,163
Apple,Highways,6,2,Middle aged,Fair,2.5,3.8
Blue Gum,Housing,17,10,Mature,Fair,725.1,312
Wier maple,Housing,15,7,Mature,Fair,333.6,253.7
Alder - Italian,Parks,16,4,Mature,Fair,239.5,55.7
Plum,Highways,6,5,Middle aged,Fair,112.8,55
Cherry - Bird,Housing,8,7,Middle aged,Fair,62.1,144.4
Plum,Parks,10,8,Middle aged,Good,785.6,199.5
"Birch - Downy, Hairy",Housing,19,11,Mature,Good,438,363.3
Whitebeam,Education,7,3,Middle aged,Good,19.7,25.2
Hornbeam,Housing,9,4,Middle aged,Good,67.9,27.1
False Acacia,Parks,14,9,Mature,Good,551.6,327.2
Lime - Common,Highways,16,6,Mature,Fair,301,244
Cherry - Manchurian,Highways,3,2,Middle aged,Good,28.1,9.9
Holly,Corporate Landlord,1,1,Middle aged,Fair,35.7,41.8
Lime - Common,Parks,25,11,Mature,Fair,531.6,545.2
London plane,Highways,9,5,Middle aged,Good,29.1,70.9
London plane,Highways,18,8,Mature,Fair,1655,294.6
Cotoneaster,Parks,6,5,Middle aged,Good,22.1,71.7
London plane,Highways,15,11,Mature,Good,1282.6,456.1
London plane,Highways,14,6,Mature,Good,731.2,250.7
Apple - Purple crab,Housing,5,2,Juvenile,Good,7.5,13.7
Holly,Parks,12,5,Middle aged,Fair,150.7,111.9
Whitebeam - Swedish,Housing,8,6,Mature,Fair,241.9,88.5
London plane,Parks,13,6,Middle aged,Good,288.8,221.1
Holly,Parks,10,6,Mature,Good,84.8,119.3
Ash,Housing,15,9,Middle aged,Fair,221.2,356.1
Sycamore,Housing,9,6,Middle aged,Good,106.4,121.3
