municipalities_Brabant,total_households,city_classification,total_stock,total_buy,total_buy_single_family,total_buy_more_families,total_rent,total_rent_single_family,total_rent_more_families,total_single_family,total_more_families,total_social_housing,total_social_housing_single_family,total_social_housing_more_families,total_private_rent,total_private_rent_single_family,total_private_rent_more_families
Alphen-Chaam,4172,not_urban,4342,3305,3219,86,1037,672,365,3891,451,597,336,261,440,336,104
Altena,22014,not_urban,22221,15232,14445,787,6989,5204,1785,19649,2572,5556,4163,1393,1433,1041,392
Asten,7131,not_urban,6853,4894,4682,212,1959,1217,742,5899,954,1484,913,571,475,304,171
Baarle-Nassau,3065,not_urban,2854,2010,1899,111,844,572,272,2471,383,340,247,93,504,325,179
Bergeijk,7778,not_urban,7870,6143,5666,477,1727,1171,556,6837,1033,1075,745,330,652,426,226
Bergen op Zoom,29991,mediocre_urban,30380,17874,16102,1772,12506,5298,7208,21400,8980,9585,3900,5685,2921,1398,1523
Bernheze,12345,little_urban,12434,8933,8552,381,3501,2538,963,11090,1344,2367,1807,560,1134,731,403
Best,12653,mediocre_urban,12535,9062,8314,748,3473,1712,1761,10026,2509,2545,1226,1319,928,486,442
Bladel,8503,not_urban,8618,6459,6052,407,2159,1228,931,7280,1338,1333,818,515,826,410,416
Boekel,4062,not_urban,4168,3105,2958,147,1063,669,394,3627,541,674,399,275,389,270,119
Boxmeer,12355,not_urban,12427,8513,8063,450,3914,2292,1622,10355,2072,2899,1784,1115,1015,508,507
Boxtel,13560,little_urban,13353,8177,7441,736,5176,2277,2899,9718,3635,3999,1637,2362,1177,640,537
Breda,88250,highly_urban,83793,46648,38343,8305,37145,12786,24359,51129,32664,24889,9228,15661,12256,3558,8698
Cranendonck,8834,not_urban,8962,6610,6348,262,2352,1812,540,8160,802,1510,1228,282,842,584,258
Cuijk,10858,not_urban,11094,6974,6492,482,4120,2233,1887,8725,2369,3106,1625,1481,1014,608,406
Deurne,13688,little_urban,13887,9180,8682,498,4707,3214,1493,11896,1991,3444,2490,954,1263,724,539
Dongen,11056,little_urban,11241,7881,7438,443,3360,2069,1291,9507,1734,2390,1446,944,970,623,347
Drimmelen,11533,not_urban,11779,8385,7945,440,3394,2224,1170,10169,1610,2781,1834,947,613,390,223
Eersel,8002,not_urban,8277,6069,5578,491,2208,1301,907,6879,1398,1449,945,504,759,356,403
Eindhoven,119545,highly_urban,111293,49982,41167,8815,61311,27129,34182,68296,42997,41858,22224,19634,19453,4905,14548
Etten-Leur,18754,mediocre_urban,18967,12172,11228,944,6795,4191,2604,15419,3548,5322,3167,2155,1473,1024,449
Geertruidenberg,9326,little_urban,9638,6049,5610,439,3589,2107,1482,7717,1921,2990,1762,1228,599,345,254
Geldrop-Mierlo,17677,mediocre_urban,17640,11629,10923,706,6011,3080,2931,14003,3637,4725,2443,2282,1286,637,649
Gemert-Bakel,12850,not_urban,12754,8603,8220,383,4151,2805,1346,11025,1729,2705,1991,714,1446,814,632
Gilze en Rijen,11185,not_urban,11270,7228,6920,308,4042,2705,1337,9625,1645,3374,2247,1127,668,458,210
Goirle,10090,little_urban,10291,7293,6874,419,2998,1736,1262,8610,1681,2554,1411,1143,444,325,119
Grave,5299,little_urban,5446,3743,3407,336,1703,993,710,4400,1046,1193,676,517,510,317,193
Haaren,5858,not_urban,5904,4275,4106,169,1629,923,706,5029,875,977,625,352,652,298,354
Halderberge,13170,not_urban,13310,8608,8388,220,4702,3194,1508,11582,1728,4027,2773,1254,675,421,254
Heeze-Leende,6687,not_urban,6817,5288,5063,225,1529,1069,460,6132,685,1016,700,316,513,369,144
Helmond,40528,mediocre_urban,40319,21729,19986,1743,18590,10190,8400,30176,10143,15117,8591,6526,3473,1599,1874
Heusden,18702,little_urban,18759,12694,11971,723,6065,3921,2144,15892,2867,4875,3204,1671,1190,717,473
Hilvarenbeek,6398,not_urban,6591,4997,4829,168,1594,1000,594,5829,762,935,599,336,659,401,258
Laarbeek,9384,not_urban,9446,6551,6366,185,2895,1944,951,8310,1136,2291,1556,735,604,388,216
Landerd,6264,not_urban,6300,4644,4426,218,1656,1083,573,5509,791,1186,736,450,470,347,123
Loon op Zand,10077,little_urban,10317,6548,6213,335,3769,2254,1515,8467,1850,2532,1570,962,1237,684,553
Meierijstad,34271,little_urban,34102,23840,22039,1801,10262,6224,4038,28263,5839,7230,4488,2742,3032,1736,1296
Mill en Sint Hubert,4535,not_urban,4569,3290,3172,118,1279,939,340,4111,458,935,695,240,344,244,100
Moerdijk,16138,not_urban,16406,10807,10428,379,5599,3782,1817,14210,2196,4438,3173,1265,1161,609,552
Nuenen c.a.,10086,little_urban,10165,7690,7364,326,2475,1427,1048,8791,1374,1631,824,807,844,603,241
Oirschot,7609,not_urban,7861,5977,5744,233,1884,958,926,6702,1159,1031,497,534,853,461,392
Oisterwijk,11160,little_urban,11567,7938,7219,719,3629,2119,1510,9338,2229,2444,1581,863,1185,538,647
Oosterhout,24891,mediocre_urban,25115,15142,13229,1913,9973,5344,4629,18573,6542,8290,4447,3843,1683,897,786
Oss,40084,little_urban,39955,25191,22904,2287,14764,8208,6556,31112,8843,11279,6656,4623,3485,1552,1933
Reusel-De Mierden,5450,not_urban,5422,4219,4007,212,1203,839,364,4846,576,721,564,157,482,275,207
Roosendaal,34990,mediocre_urban,35188,21997,19979,2018,13191,6697,6494,26676,8512,9894,5319,4575,3297,1378,1919
Rucphen,9780,not_urban,9690,6425,6231,194,3265,2637,628,8868,822,2836,2309,527,429,328,101
s-Hertogenbosch,72654,mediocre_urban,72022,37861,29893,7968,34161,13808,20353,43701,28321,24355,11324,13031,9806,2484,7322
Sint Anthonis,4653,not_urban,4810,3646,3540,106,1164,776,388,4316,494,733,530,203,431,246,185
Sint-Michielsgestel,11905,not_urban,12101,9112,8660,452,2989,1951,1038,10611,1490,1992,1237,755,997,714,283
